Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty
TCS,EQ,2013-04-11,1530.45,1540.0,1550.1,1520.7,1537.75,1536.9,1537.21,1122329.0,1725256806.15,45986.0,758359.0
TCS,EQ,2013-04-12,1536.9,1481.9,1524.5,1478.35,1512.0,1511.75,1504.87,2516030.0,3786309762.75,95542.0,1610837.0
TCS,EQ,2013-04-15,1511.75,1513.5,1514.0,1448.35,1473.0,1472.45,1473.83,2695748.0,3973067271.1,100925.0,1719136.0
TCS,EQ,2013-04-16,1472.45,1470.0,1493.45,1457.95,1480.0,1483.15,1473.05,1535791.0,2262294346.6,58907.0,963463.0
TCS,EQ,2013-04-17,1483.15,1495.0,1499.0,1431.0,1459.85,1456.65,1460.8,2639502.0,3855792428.45,82601.0,1466628.0
TCS,EQ,2013-04-18,1456.65,1487.95,1494.9,1427.45,1443.1,1452.75,1451.3,4277229.0,6207540646.1,144508.0,1907316.0
TCS,EQ,2013-04-22,1452.75,1446.0,1459.8,1425.0,1425.0,1425.3,1434.07,1481242.0,2124199931.1,64835.0,854977.0
TCS,EQ,2013-04-23,1425.3,1424.45,1448.0,1424.0,1428.95,1430.55,1433.21,1692085.0,2425121217.0,73350.0,1179685.0
TCS,EQ,2013-04-25,1430.55,1430.55,1430.55,1398.65,1401.0,1402.3,1407.35,3964597.0,5579555872.15,113292.0,2660518.0
TCS,EQ,2013-04-26,1402.3,1393.0,1393.45,1365.1,1366.95,1369.35,1374.51,2377038.0,3267258397.6,104206.0,1814200.0
TCS,EQ,2013-04-29,1369.35,1365.0,1384.7,1365.0,1370.7,1370.75,1374.34,1984458.0,2727320978.8,81023.0,1437724.0
TCS,EQ,2013-04-30,1370.75,1368.0,1382.0,1365.0,1376.35,1378.4,1373.15,2010285.0,2760426713.6,80918.0,1556672.0
TCS,EQ,2013-05-02,1378.4,1373.5,1438.8,1373.5,1425.0,1433.9,1417.25,2815163.0,3989795667.6,165856.0,2020727.0
TCS,EQ,2013-05-03,1433.9,1426.0,1447.25,1407.9,1420.0,1418.5,1427.14,1820895.0,2598667525.1,80880.0,1230824.0
TCS,EQ,2013-05-06,1418.5,1420.0,1472.4,1420.0,1465.05,1467.2,1454.27,1863559.0,2710126272.55,69362.0,1353787.0
TCS,EQ,2013-05-07,1467.2,1467.1,1478.85,1457.4,1469.3,1471.6,1468.34,1130090.0,1659351880.4,56771.0,731284.0
TCS,EQ,2013-05-08,1471.6,1472.0,1487.8,1470.0,1479.8,1480.1,1480.71,884065.0,1309045680.3,42493.0,594141.0
TCS,EQ,2013-05-09,1480.1,1483.2,1503.45,1483.0,1500.0,1498.45,1498.15,974850.0,1460469843.25,53116.0,561872.0
TCS,EQ,2013-05-10,1498.45,1498.45,1510.9,1491.1,1494.0,1495.9,1499.13,569857.0,854287860.3,40438.0,353788.0
TCS,EQ,2013-05-11,1495.9,1495.0,1495.0,1486.1,1486.7,1489.65,1489.61,28017.0,41734524.95,1332.0,7793.0
TCS,EQ,2013-05-13,1489.65,1480.0,1481.0,1445.7,1451.6,1451.6,1459.89,931249.0,1359524178.5,77054.0,661662.0
TCS,EQ,2013-05-14,1451.6,1455.1,1470.55,1443.75,1458.0,1457.95,1460.07,1125050.0,1642646148.65,76618.0,812191.0
TCS,EQ,2013-05-15,1457.95,1458.1,1477.2,1450.0,1462.0,1471.55,1462.78,1782963.0,2608084625.65,73380.0,1359379.0
TCS,EQ,2013-05-16,1471.55,1469.0,1469.0,1447.45,1455.8,1454.05,1453.49,1207826.0,1755560378.4,69868.0,947086.0
TCS,EQ,2013-05-17,1454.05,1455.0,1478.5,1454.1,1469.05,1473.8,1468.14,1450100.0,2128947639.4,70270.0,1070480.0
TCS,EQ,2013-05-20,1473.8,1471.25,1478.0,1461.0,1477.7,1472.4,1467.92,692752.0,1016902642.9,44647.0,484543.0
TCS,EQ,2013-05-21,1472.4,1465.0,1502.0,1465.0,1493.0,1492.85,1493.43,949216.0,1417590016.25,64722.0,588862.0
TCS,EQ,2013-05-22,1492.85,1498.0,1509.15,1492.3,1496.7,1498.4,1499.31,923472.0,1384575135.45,63862.0,645025.0
TCS,EQ,2013-05-23,1498.4,1495.0,1526.75,1478.35,1496.0,1492.7,1499.76,1531981.0,2297596221.45,74633.0,1044554.0
TCS,EQ,2013-05-24,1492.7,1500.0,1502.95,1463.6,1472.0,1469.55,1475.82,793306.0,1170774984.2,33979.0,449921.0
TCS,EQ,2013-05-27,1469.55,1469.5,1500.0,1460.0,1490.55,1498.0,1488.71,1011932.0,1506473755.4,59991.0,745372.0
TCS,EQ,2013-05-28,1498.0,1498.0,1516.5,1490.3,1514.9,1514.1,1504.57,700127.0,1053386805.3,41250.0,478425.0
TCS,EQ,2013-05-29,1514.1,1516.0,1527.5,1485.1,1495.0,1497.35,1506.63,726019.0,1093844997.8,45348.0,372681.0
TCS,EQ,2013-05-30,1497.35,1500.0,1512.0,1487.0,1508.0,1499.4,1500.02,1204173.0,1806278569.0,38970.0,868076.0
TCS,EQ,2013-05-31,1499.4,1491.0,1509.25,1476.75,1501.0,1498.45,1497.66,964934.0,1445147070.85,51533.0,676494.0
TCS,EQ,2013-06-03,1498.45,1504.0,1507.0,1457.1,1470.0,1469.4,1473.07,1548806.0,2281500480.6,82050.0,1250465.0
TCS,EQ,2013-06-04,1469.4,1460.0,1473.9,1450.15,1464.0,1465.35,1462.21,652660.0,954328224.1,31601.0,361861.0
TCS,EQ,2013-06-05,1465.35,1461.1,1472.65,1452.7,1472.4,1467.8,1464.41,864338.0,1265747022.65,51676.0,480142.0
TCS,EQ,2013-06-06,1467.8,1453.7,1478.5,1452.05,1472.0,1470.75,1469.36,1270226.0,1866415602.5,61001.0,878236.0
TCS,EQ,2013-06-07,1470.75,1470.1,1539.0,1468.0,1522.6,1518.95,1514.43,1775422.0,2688751636.25,94737.0,981161.0
TCS,EQ,2013-06-10,1518.95,1525.05,1544.7,1519.1,1529.15,1525.05,1532.04,1680215.0,2574158334.35,49431.0,1208995.0
TCS,EQ,2013-06-11,1525.05,1530.2,1542.0,1492.0,1494.85,1501.55,1518.72,1102734.0,1674743488.1,50255.0,683461.0
TCS,EQ,2013-06-12,1501.55,1494.1,1495.1,1462.05,1470.85,1468.1,1472.95,2402977.0,3539454358.05,40672.0,2098252.0
TCS,EQ,2013-06-13,1468.1,1460.0,1464.0,1435.1,1439.0,1445.65,1449.19,1575671.0,2283449223.8,37679.0,1355224.0
TCS,EQ,2013-06-14,1445.65,1448.0,1457.25,1431.0,1454.0,1450.7,1445.98,1552998.0,2245611750.6,50954.0,1248783.0
TCS,EQ,2013-06-17,1450.7,1453.0,1465.0,1428.0,1451.8,1452.45,1445.11,1292081.0,1867204501.7,33543.0,986922.0
TCS,EQ,2013-06-18,1452.45,1455.0,1460.0,1440.15,1442.05,1443.8,1446.82,1145764.0,1657716389.5,35144.0,835162.0
TCS,EQ,2013-06-19,1443.8,1454.9,1454.9,1423.55,1424.25,1427.7,1431.67,1069894.0,1531740349.35,54286.0,749250.0
TCS,EQ,2013-06-20,1427.7,1421.0,1433.15,1399.1,1399.1,1404.5,1420.04,2086439.0,2962832290.85,99552.0,1430840.0
TCS,EQ,2013-06-21,1404.5,1408.8,1431.85,1408.0,1422.0,1422.25,1421.39,1424112.0,2024223029.2,51685.0,1016124.0
TCS,EQ,2013-06-24,1422.25,1415.0,1434.1,1400.1,1412.9,1410.7,1418.87,944582.0,1340239272.95,51312.0,611939.0
TCS,EQ,2013-06-25,1410.7,1413.5,1427.1,1380.7,1391.0,1392.3,1413.83,930274.0,1315244839.3,53885.0,619250.0
TCS,EQ,2013-06-26,1392.3,1396.9,1447.75,1381.05,1446.0,1437.7,1422.62,1163244.0,1654857667.25,55304.0,681566.0
TCS,EQ,2013-06-27,1437.7,1447.8,1497.0,1442.0,1485.0,1491.9,1472.05,1910339.0,2812117983.8,65973.0,958494.0
TCS,EQ,2013-06-28,1491.9,1495.0,1524.3,1458.2,1521.0,1518.15,1499.03,2408548.0,3610485523.45,123933.0,1659939.0
TCS,EQ,2013-07-01,1518.15,1512.0,1516.7,1483.4,1489.0,1492.35,1495.42,677326.0,1012885599.65,36062.0,379248.0
TCS,EQ,2013-07-02,1492.35,1493.1,1508.5,1486.65,1500.0,1500.55,1497.24,828621.0,1240644824.95,28099.0,579089.0
TCS,EQ,2013-07-03,1500.55,1497.7,1519.0,1465.0,1485.0,1489.8,1491.55,765453.0,1141708976.3,48225.0,425866.0
TCS,EQ,2013-07-04,1489.8,1490.85,1541.0,1490.0,1540.0,1538.3,1522.88,958530.0,1459725830.2,35318.0,489276.0
TCS,EQ,2013-07-05,1538.3,1542.0,1558.0,1522.0,1529.0,1530.2,1540.98,646506.0,996254176.7,33664.0,326938.0
TCS,EQ,2013-07-08,1530.2,1528.0,1535.0,1500.0,1507.0,1506.65,1517.4,829398.0,1258530157.1,44702.0,533051.0
TCS,EQ,2013-07-09,1506.65,1495.3,1521.75,1495.3,1504.15,1504.9,1507.34,548663.0,827023030.55,31904.0,354732.0
TCS,EQ,2013-07-10,1504.9,1510.0,1526.8,1498.0,1519.0,1511.95,1510.17,661312.0,998690768.25,44391.0,399510.0
TCS,EQ,2013-07-11,1511.95,1520.0,1570.0,1520.0,1560.0,1564.55,1551.39,1167637.0,1811457431.95,58336.0,769650.0
TCS,EQ,2013-07-12,1564.55,1595.0,1624.8,1579.3,1610.0,1609.85,1607.04,1625768.0,2612680638.9,77332.0,841872.0
TCS,EQ,2013-07-15,1609.85,1601.1,1647.3,1599.3,1640.0,1641.75,1634.96,1030285.0,1684478563.8,57355.0,579863.0
TCS,EQ,2013-07-16,1641.75,1625.0,1666.35,1617.6,1647.0,1649.35,1650.53,1112493.0,1836203944.2,39701.0,747193.0
TCS,EQ,2013-07-17,1649.35,1645.05,1684.95,1645.05,1675.0,1678.5,1674.44,1499625.0,2511029102.75,52818.0,1069952.0
TCS,EQ,2013-07-18,1678.5,1680.0,1692.3,1644.0,1658.5,1660.4,1663.84,1722766.0,2866403427.3,82338.0,1010744.0
TCS,EQ,2013-07-19,1660.4,1719.0,1759.0,1700.0,1743.0,1742.8,1738.01,4275402.0,7430699822.15,131525.0,1970241.0
TCS,EQ,2013-07-22,1742.8,1741.0,1758.8,1728.3,1747.85,1746.5,1746.02,1487386.0,2597009147.7,43813.0,1038330.0
TCS,EQ,2013-07-23,1746.5,1748.0,1780.45,1743.6,1750.0,1749.8,1756.51,823251.0,1446051851.8,47374.0,496761.0
TCS,EQ,2013-07-24,1749.8,1748.5,1792.0,1745.0,1783.0,1782.8,1778.8,1090822.0,1940354831.65,85535.0,662437.0
TCS,EQ,2013-07-25,1782.8,1780.0,1810.0,1766.7,1788.0,1795.75,1785.76,2044404.0,3650816099.8,71565.0,1418348.0
TCS,EQ,2013-07-26,1795.75,1795.0,1798.95,1750.1,1770.0,1774.5,1779.05,1189532.0,2116232135.95,69405.0,694000.0
TCS,EQ,2013-07-29,1774.5,1758.0,1794.6,1757.25,1776.95,1779.2,1779.1,887131.0,1578299165.55,46806.0,593670.0
TCS,EQ,2013-07-30,1779.2,1780.0,1804.95,1775.45,1789.6,1792.3,1794.62,1308742.0,2348695159.95,53050.0,1026380.0
TCS,EQ,2013-07-31,1792.3,1790.0,1831.5,1789.45,1814.0,1815.5,1817.7,1413375.0,2569097493.5,63976.0,1027917.0
TCS,EQ,2013-08-01,1815.5,1810.05,1834.8,1790.0,1816.0,1815.4,1818.36,1070589.0,1946711395.55,50550.0,747580.0
TCS,EQ,2013-08-02,1815.4,1819.7,1849.9,1816.7,1843.0,1845.85,1842.77,923427.0,1701665974.05,48177.0,585928.0
TCS,EQ,2013-08-05,1845.85,1840.0,1877.4,1840.0,1864.7,1867.2,1868.3,1177592.0,2200091319.05,67216.0,903411.0
TCS,EQ,2013-08-06,1867.2,1873.0,1881.95,1864.65,1871.0,1870.1,1871.5,1152645.0,2157172621.2,49199.0,826453.0
TCS,EQ,2013-08-07,1870.1,1874.0,1890.9,1813.45,1818.95,1822.7,1850.76,1347490.0,2493883090.95,77350.0,859828.0
TCS,EQ,2013-08-08,1822.7,1805.1,1856.15,1783.7,1846.0,1845.4,1829.62,1079314.0,1974732470.05,58154.0,578728.0
TCS,EQ,2013-08-12,1845.4,1841.0,1841.0,1808.15,1822.0,1814.0,1818.29,1038787.0,1888813017.3,51259.0,736206.0
TCS,EQ,2013-08-13,1814.0,1820.2,1844.85,1809.95,1820.0,1819.8,1826.35,1084148.0,1980034208.05,36003.0,811338.0
TCS,EQ,2013-08-14,1819.8,1824.5,1858.0,1802.0,1842.0,1833.5,1834.4,1651034.0,3028655819.5,59805.0,1019495.0
TCS,EQ,2013-08-16,1833.5,1824.2,1830.0,1755.55,1779.0,1780.9,1789.42,1389965.0,2487232532.6,83006.0,821204.0
TCS,EQ,2013-08-19,1780.9,1798.0,1807.0,1755.55,1770.0,1777.45,1782.77,1060676.0,1890937648.05,75068.0,595183.0
TCS,EQ,2013-08-20,1777.45,1789.8,1789.8,1730.0,1739.0,1736.4,1744.56,1362422.0,2376821441.5,67852.0,836444.0
